ds,time,y
23/08/2568,2:00,2.41
23/08/2568,1:00,2.53
23/08/2568,0:00,2.95
22/08/2568,23:00,3.4
22/08/2568,22:00,3.84
22/08/2568,21:00,4.16
22/08/2568,20:00,4.16
22/08/2568,19:00,4.01
22/08/2568,18:00,3.64
22/08/2568,17:00,2.99
22/08/2568,16:00,2.19
22/08/2568,15:00,1.5
22/08/2568,14:00,1.18
22/08/2568,13:00,1.32
22/08/2568,12:00,1.54
22/08/2568,11:00,1.87
22/08/2568,10:00,2.33
22/08/2568,9:00,2.79
22/08/2568,8:00,3.2
22/08/2568,7:00,3.5
22/08/2568,6:00,3.47
22/08/2568,5:00,3.37
22/08/2568,4:00,3.01
22/08/2568,3:00,2.69
22/08/2568,2:00,2.48
22/08/2568,1:00,2.58
22/08/2568,0:00,2.81
21/08/2568,23:00,3.2
21/08/2568,22:00,3.61
21/08/2568,21:00,3.93
21/08/2568,20:00,4.05
21/08/2568,19:00,3.91
21/08/2568,18:00,3.62
21/08/2568,17:00,3.1
21/08/2568,16:00,2.37
21/08/2568,15:00,1.49
21/08/2568,14:00,1.04
21/08/2568,13:00,1.11
21/08/2568,12:00,1.25
21/08/2568,11:00,1.46
21/08/2568,10:00,1.72
21/08/2568,9:00,2.13
21/08/2568,8:00,2.59
21/08/2568,7:00,3.04
21/08/2568,6:00,3.31
21/08/2568,5:00,3.34
21/08/2568,4:00,3.3
21/08/2568,3:00,3.03
21/08/2568,2:00,3.05
21/08/2568,1:00,2.94
21/08/2568,0:00,2.99
20/08/2568,23:00,3.29
20/08/2568,22:00,3.58
20/08/2568,21:00,3.93
20/08/2568,20:00,4.2
20/08/2568,19:00,4.15
20/08/2568,18:00,3.89
20/08/2568,17:00,3.48
20/08/2568,16:00,2.93
20/08/2568,15:00,2.22
20/08/2568,14:00,1.55
20/08/2568,13:00,1.15
20/08/2568,12:00,1.16
20/08/2568,11:00,1.31
20/08/2568,10:00,1.51
20/08/2568,9:00,1.77
20/08/2568,8:00,2.12
20/08/2568,7:00,2.63
20/08/2568,6:00,3
20/08/2568,5:00,3.11
20/08/2568,4:00,3.31
20/08/2568,3:00,3.15
20/08/2568,2:00,3.26
20/08/2568,1:00,3.14
20/08/2568,0:00,3.17
19/08/2568,23:00,3.34
19/08/2568,22:00,3.65
19/08/2568,21:00,3.95
19/08/2568,20:00,4.23
19/08/2568,19:00,4.26
19/08/2568,18:00,4.06
19/08/2568,17:00,3.78
19/08/2568,16:00,3.32
19/08/2568,15:00,2.7
19/08/2568,14:00,2.05
19/08/2568,13:00,1.5
19/08/2568,12:00,1.16
19/08/2568,11:00,1.23
19/08/2568,10:00,1.38
19/08/2568,9:00,1.6
19/08/2568,8:00,1.88
19/08/2568,7:00,2.2
19/08/2568,6:00,2.55
19/08/2568,5:00,2.85
19/08/2568,4:00,3.06
19/08/2568,3:00,3.15
19/08/2568,2:00,3.11
19/08/2568,1:00,3.17
19/08/2568,0:00,3.27
18/08/2568,23:00,3.43
18/08/2568,22:00,3.64
18/08/2568,21:00,3.93
18/08/2568,20:00,4.14
18/08/2568,19:00,4.27
18/08/2568,18:00,4.2
18/08/2568,17:00,3.98
18/08/2568,16:00,3.62
18/08/2568,15:00,3.05
18/08/2568,14:00,2.4
18/08/2568,13:00,1.8
18/08/2568,12:00,1.39
18/08/2568,11:00,1.21
18/08/2568,10:00,1.25
