ds,time,y
31/08/2567        23:00                 3.00,,
31/08/2567        22:00                 3.24,,
31/08/2567        21:00                 3.42,,
31/08/2567        20:00                 3.69,,
31/08/2567        19:00                 3.77,,
31/08/2567        18:00                 3.88,,
31/08/2567        17:00                 3.78,,
31/08/2567        16:00                 3.47,,
31/08/2567        15:00                 3.13,,
31/08/2567        14:00                 2.71,,
31/08/2567        13:00                 2.19,,
31/08/2567        12:00                 1.83,,
31/08/2567        11:00                 1.53,,
31/08/2567        10:00                 1.37,,
31/08/2567        09:00                 1.39,,
31/08/2567        08:00                 1.51,,
31/08/2567        07:00                 1.73,,
31/08/2567        06:00                 1.94,,
31/08/2567        05:00                 2.11,,
31/08/2567        04:00                 2.44,,
31/08/2567        03:00                 2.65,,
31/08/2567        02:00                 2.75,,
31/08/2567        01:00                 2.95,,
31/08/2567        00:00                 3.05,,
30/08/2567        23:00                 3.16,,
30/08/2567        22:00                 3.42,,
30/08/2567        21:00                 3.51,,
30/08/2567        20:00                 3.70,,
30/08/2567        19:00                 3.92,,
30/08/2567        18:00                 3.91,,
30/08/2567        17:00                 3.97,,
30/08/2567        16:00                 3.81,,
30/08/2567        15:00                 3.55,,
30/08/2567        14:00                 3.23,,
30/08/2567        13:00                 2.78,,
30/08/2567        12:00                 2.43,,
30/08/2567        11:00                 2.12,,
30/08/2567        10:00                 1.69,,
30/08/2567        09:00                 1.53,,
30/08/2567        08:00                 1.36,,
30/08/2567        07:00                 1.50,,
30/08/2567        06:00                 1.65,,
30/08/2567        05:00                 1.77,,
30/08/2567        04:00                 1.97,,
30/08/2567        03:00                 2.32,,
30/08/2567        02:00                 2.64,,
30/08/2567        01:00                 2.77,,
30/08/2567        00:00                 3.07,,
29/08/2567        23:00                 3.13,,
29/08/2567        22:00                 3.34,,
29/08/2567        21:00                 3.40,,
29/08/2567        20:00                 3.50,,
29/08/2567        19:00                 3.60,,
29/08/2567        18:00                 3.81,,
29/08/2567   17:00   3.76,,
29/08/2567   16:00   3.71,,
29/08/2567   15:00   3.49,,
29/08/2567   14:00   3.36,,
29/08/2567   13:00   3.09,,
29/08/2567   12:00   2.82,,
29/08/2567   11:00   2.45,,
29/08/2567   10:00   2.00,,
29/08/2567   09:00   1.73,,
29/08/2567   08:00   1.37,,
29/08/2567   07:00   1.28,,
29/08/2567   06:00   1.18,,
29/08/2567   05:00   1.33,,
29/08/2567   04:00   1.53,,
29/08/2567   03:00   1.83,,
29/08/2567   02:00   2.14,,
29/08/2567   01:00   2.53,,
29/08/2567   00:00   2.95,,
28/08/2567   23:00   3.14,,
28/08/2567   22:00   3.36,,
28/08/2567   21:00   3.35,,
28/08/2567   20:00   3.44,,
28/08/2567   19:00   3.33,,
28/08/2567   18:00   3.47,,
28/08/2567   17:00   3.52,,
28/08/2567   16:00   3.51,,
28/08/2567   15:00   3.50,,
28/08/2567   14:00   3.55,,
28/08/2567   13:00   3.47,,
28/08/2567   12:00   3.32,,
28/08/2567   11:00   2.97,,
28/08/2567   10:00   2.58,,
28/08/2567   09:00   2.32,,
28/08/2567   08:00   1.78,,
28/08/2567   07:00   1.34,,
28/08/2567   06:00   1.21,,
28/08/2567   05:00   1.34,,
28/08/2567   04:00   1.52,,
28/08/2567   03:00   1.81,,
28/08/2567   02:00   2.08,,
28/08/2567   01:00   2.73,,
28/08/2567   00:00   3.37,,
27/08/2567   23:00   3.46,,
27/08/2567   22:00   3.60,,
27/08/2567   21:00   3.72,,
27/08/2567   20:00   3.65,,
27/08/2567   19:00   3.51,,
27/08/2567   18:00   3.42,,
27/08/2567   17:00   3.26,,
27/08/2567   16:00   3.18,,
27/08/2567   15:00   3.33,,
27/08/2567   14:00   3.45,,
27/08/2567   13:00   3.46,,
27/08/2567   12:00   3.42,,
27/08/2567   11:00   3.30,,
27/08/2567   10:00   3.10,,
27/08/2567   09:00   2.72,,
27/08/2567   08:00   2.23,,
27/08/2567   07:00   1.70,,
27/08/2567   06:00   1.27,,
27/08/2567   05:00   1.18,,
27/08/2567   04:00   1.32,,
27/08/2567   03:00   1.56,,
27/08/2567   02:00   1.90,,
27/08/2567   01:00   2.35,,
27/08/2567   00:00   2.82,,
26/08/2567   23:00   3.27,,
26/08/2567   22:00   3.59,,
26/08/2567   21:00   3.74,,
26/08/2567   20:00   3.79,,
26/08/2567   19:00   3.45,,
26/08/2567   18:00   3.12,,
26/08/2567   17:00   2.84,,
26/08/2567   16:00   2.63,,
26/08/2567   15:00   2.61,,
26/08/2567   14:00   2.69,,
26/08/2567   13:00   2.95,,
26/08/2567   12:00   3.22,,
26/08/2567   11:00   3.37,,
26/08/2567   10:00   3.34,,
26/08/2567   09:00   3.21,,
26/08/2567   08:00   2.85,,
26/08/2567   07:00   2.31,,
26/08/2567   06:00   1.73,,
26/08/2567   05:00   1.31,,
26/08/2567   04:00   1.27,,
